Universe Max Age;Universe Min Age;Universe Name;Description;Title;cloudinary key
11;10;L'île mystérieuse;La zizanie règne sur l'île. Des singes font régner la terreur ! Il faut absolument y mettre un terme.;L’Attaque des singes;production/stories/l-attaque-des-singes/cover
11;10;L'île mystérieuse;Pars avec Arthur à la découverte d'une île aux habitants loufoques et aide le Roi à trouver le chemin de l'amour...;Le Roi amoureux;production/stories/le-roi-amoureux/cover
11;10;L'île mystérieuse;Le capitaine Piratouille est connu pour sa cruauté. Pourtant, sous cette carapace, semble se cacher un tout autre personnage…;Capitaine Piratouille-Pétouilles;production/stories/capitaine-piratouille-petouilles/cover
9;8;La forêt enchantée;Barnabé a lancé un sort qui fait dépérir la forêt enchantée. Qui pourra bien venir à bout de lui ?;Le Sortilège de Barnabé;production/stories/le-sortilege-de-barnabe/cover
9;8;La forêt enchantée;Comment aider cette coccinelle entêtée ? Et pourquoi ne sait-elle pas voler ?;L'Apprentie Coccinelle;production/stories/l-apprentie-coccinelle/cover
10;9;La chaumière perdue;Un ogre a pris possession de la chaumière ! Quel trésor s'y cache ? Comment s'en échapper ?;La Chaumière de l’Ogre;production/stories/la-chaumiere-de-l-ogre/cover
10;9;La chaumière perdue;Où a disparu la Fée de la Forêt ? Qui pourra l'aider à la retrouver ? Quel code faudra-t-il déchiffrer pour y parvenir ?;La Fée de la Forêt;production/stories/la-fee-de-la-foret/cover
10;9;La chaumière perdue;Une sorcière attend Thomas de pied ferme. Il faudra être très astucieux pour sortir de la chaumière victorieux.;Une Sorcière et une Princesse;production/stories/une-sorciere-et-une-princesse/cover
9;8;La forêt enchantée;Océane s’endort tranquillement au pied d’un arbre et se réveille au milieu d’un lac. Comment s’est-elle retrouvée là ? Heureusement, la Fée des étangs passe par là…;La Fée des étangs;production/stories/la-fee-des-etangs/cover
12;11;Le palais merveilleux;Ismaël est mystérieusement appelé dans un royaume lointain. Le palais semble vide mais une force mystérieuse le guide… Qui sont ces êtres invisibles et que se passe-t-il dans cet étrange royaume ? Découvre un autre monde : le monde invisible !;Le Monde invisible;production/stories/le-monde-invisible/cover
12;11;Le palais merveilleux;Moïse devient le digne représentant de la Terre dans cette course interplanétaire où tous les coups sont permis. Tout le monde compte sur lui : ruse et imagination lui seront utiles.;La Course intergalactique;production/stories/la-course-intergalactique/as_cover/5hejver58da8vrmsl93ekkakvm6o
12;11;Le palais merveilleux;Le Royaume des Aventuriers a besoin de Laure. Elle décide de vivre cette aventure avec son meilleur ami. Seront-ils assez forts face aux différents dangers qui les attendent ?;Amis pour la vie;production/stories/amis-pour-la-vie/cover
9;8;La forêt enchantée;Après une incroyable remontée dans le temps, Louis se retrouve plongé dans le monde des dinosaures. Ce monde est-il aussi cruel et impitoyable qu’on le pense ?;Tu ne serais pas un peu dino ?;production/stories/tu-ne-serais-pas-un-peu-dino/cover
10;9;La chaumière perdue;Auguste Renoir deviendra  l’un des plus célèbres peintres français du 19e siècle. Cependant, il est pour l’instant inconnu et a besoin d’aide ! Prêt à relever le défi ?;Rencontre avec Renoir;production/stories/rencontre-avec-renoir/cover
12;11;Le palais merveilleux;Être à la tête d’une équipe de football paraît être un défi à la hauteur de Benjamin ! Il lui faudra pour cela être habile, stratège et mobiliser toute son énergie !;Ramener la coupe à la maison;production/stories/ramener-la-coupe-a-la-maison/cover
11;10;L'île mystérieuse;Arriver dans une nouvelle école n’est jamais une mince affaire ! Mais lorsque celle-ci est merveilleuse, c’est encore pire ! Comment fera Margaux pour s’adapter à ces professeurs bizarres et à ses nouveaux amis ?;L’École Merveilleuse;production/stories/l-ecole-merveilleuse/cover
12;11;Le palais merveilleux;À l’occasion du baptême de leur fille, le roi et la reine organisent une fête somptueuse. Plusieurs fées offrent un don à la princesse mais brusquement une méchante fée lui lance un charme mortel. Sauras-tu faire face à cet ensorcellement ?(Re)découvre ce conte de Charles Perrault de 1697 qui te réservera bien des surprises... ;La Belle au bois dormant;production/stories/la-belle-au-bois-dormant/cover
12;11;Le palais merveilleux;Tout serait normal si ce petit coffret ne s’était pas glissé dans les affaires d'Iris... Et qui sont ces personnes qui la suivent et qui semblent déterminées à le reprendre par tous les moyens ? Il va falloir affronter des situations périlleuses dignes d’un véritable roman d’espionnage pour se sortir de cette mauvaise posture...;Espionne malgré elle;production/stories/espionne-malgre-elle/cover
12;11;Le palais merveilleux;Alice s’ennuie auprès de sa sœur quand un lapin blanc passe près d’elle en courant. Se lançant à sa poursuite, elle entre dans son terrier et fait une chute presque interminable, qui l’emmène dans un monde où tout peut arriver…Adapté du chef-d’œuvre de Lewis Carroll de 1865.;Alice au pays des merveilles;production/stories/alice-au-pays-des-merveilles/as_cover/r6v62fvq8bokh6ivb358hia4bsbf
9;8;La forêt enchantée;Qui est cette femme qui arrive un soir d'orage à la porte du château ? Que veut-elle au prince ? C'est ce que tu sauras si tu t'aventures dans cette histoire…Retrouve ou découvre ce conte d'Andersen datant de 1835. ;La Princesse sur un pois;production/stories/la-princesse-sur-un-pois/cover
11;10;L'île mystérieuse;Le fils d’un meunier se retrouve avec pour seul bien un chat. Celui-ci se révèle extrêmement rusé !Redécouvre ce personnage célèbre immortalisé par Charles Perrault en 1695.;Le Maître Chat ou le Chat botté;production/stories/le-maitre-chat-ou-le-chat-botte/as_cover/kot9cakcmn1mk8r06kcl02gzorxl
11;10;L'île mystérieuse;Le Diable a fabriqué un miroir magique, dont deux morceaux ensorcelés se sont coincés dans l’œil et le cœur de Kay, poussant le garçon innocent à la méchanceté. Son amie Gerda entreprend de le chercher, jusqu’au château de la Reine des neiges… Découvre le conte originel de Hans Christian Andersen, publié en 1844.;La Reine des neiges;production/stories/la-reine-des-neiges/cover
10;9;La chaumière perdue;Un couple de bûcherons ne pouvant plus nourrir leurs enfants, se résignent à les abandonner dans la forêt. Ils vont malheureusement croiser la route d’un ogre... Découvre ce célèbre conte de Charles Perrault de 1697.;Le Petit Poucet;production/stories/le-petit-poucet/as_cover/axshu4xj5v3fly6k7onxkxknkn7k
